id,type,text,label
1,phishing,"Manfaatkan fasilitas pinjaman tanpa jaminan, syarat F.copy KTP, Kartu kredit, proses 3 hari kerja, info, hub: Rasti 021 91998977",1
2,phishing,"RESMI dari indosat NO anda 0815XXXXXXX terpilih sebagai pemenang poin plus-plus PIN Pemenang Anda (b89c7h9) u/info klik www.semarak-poinplusplus-2013.webs.com"" (sms ini dikirim dari no 085798428715)",1
3,phishing,Selamat Anda telah mendapatkan BONUS pulsa Rp 100.000 ke sesama Indosat Ooredoo berlaku 3 hari dan Poin senyum Anda bertambah. Cek bonus *557*8#,1
4,safe,"Saya blm dpt ttd nama1. Paling kalian duluan aja, saya nyusul sendiri nanti.",0
5,safe,Eh tp jam 5 pas dong jgn malem hbs mgrib. Aku takut plg wk,0
6,phishing,Sila Duduk di Rumah. Bagi menggalakkan tanggapan untuk duduk di rumah. Semua warganegara yang membayar cukai berhak mendapat bayaran balik kecemasan sebanyak £305.96 atau lebih. smsg.io/fCVbD,1
7,safe,"aku delete aja ya, ntar nama1 pull dulu atau sync dulu, ntar masukin yang nama1 , baru push.",0
8,safe,tes toefl di balai bisa weekend ga?,0
9,phishing,"Beli 1 Gratis 1 untuk Lychee Tea atau Latte Flavour dari Yellow Truck Jl.Patuha No.29. Tukarkan SMS ini. Hanya berlaku untuk hari ini, S&K Berlaku.Promo *606#",1
10,phishing,NFO RESMI Nomor Anda:089772xxxxx Terpilih Men-dpt HADIAH Langsung Dari PT.TRI 3Care PIN.Pemenang Anda: F8HJ7TL Utk/Info Lengkap klik; www.HadiahTri3Care.blogspot.com,1
11,phishing,RM0 CIMB Clicks: Login tidak sah dari Sabah dikesan. Kami perlukan pengesahan anda: <link>,1
12,phishing,"PESAN RESMI dri Tri Care,Selamat anda m-dptkan hadiah CEK TUNAI Sebesar Rp.45jt No:Pin undian 94AD653, U/Info kunjungi:www.pusat-bimatricare.jimdo.com",1
13,phishing,Slmt No Anda mendptkan Hadiah 1 unit MOBIL HONDA jazz dr promo TRI CARE 2016 dgn PIN PEMENANG:454647LM lnfo Klik:www.kejutanbimatri.blogspot.com,1
14,safe,nama1 Cara bikin makalah yang daftar isinya langsung jadi gmana?,0
15,phishing,PERHATIAN!!! Kad debit anda dicadangkan untuk penggantian segera. Sahkan penghantaran kad baharu: <fake-link>,1
16,safe,aku takut terbagi link lain dekat kau sebab aku tak guna seller sama,0
17,safe,"selisihnya brp? sesuai janji saya sbelumhya, bagi yg nilainya diperbatasan saya akan cek kehadiran. Tapi kalau jauh ya gak bisa :) nanti gak ada habisnya turun terus.",0
